"tick","id","utility"
9.0,60,86.13451630357014
9.0,39,0.0
9.0,2,0.0
9.0,51,0.0
9.0,0,0.0
9.0,58,0.0
9.0,36,1.0
9.0,56,0.0
9.0,62,0.0
9.0,26,0.0
9.0,49,72.42543462246158
9.0,48,0.0
9.0,46,5.2700813994869
9.0,16,0.0
9.0,37,0.0
9.0,22,0.0
9.0,28,0.0
9.0,10,0.0
9.0,15,0.0
9.0,29,2.032455532033676
9.0,1,0.0
9.0,44,0.0
9.0,34,0.0
9.0,63,0.0
9.0,9,0.0
9.0,41,0.0
9.0,20,0.0
9.0,4,0.0
9.0,54,64.7824053587744
9.0,57,0.0
9.0,45,0.0
9.0,53,1.0
