simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval
TileWorld_1,50,100,2,30,30,2,20,500,100,TileWorld_2,50,100,2,60,60,2,40,500,100

tick,agent,score,energy,location,target
213.0,2,55,314,[99, 11],null
214.0,2,55,313,[99, 12],[2, 15]
214.0,1,42,303,[8, 20],[9, 20]
215.0,2,55,311,[1, 14],[2, 15]
215.0,1,42,301,[9, 21],[12, 24]
216.0,2,55,311,[1, 14],[2, 15]
216.0,1,42,301,[9, 21],[12, 24]
217.0,2,55,310,[2, 15],null
217.0,1,42,300,[10, 22],[12, 24]
218.0,1,42,298,[12, 24],null
218.0,2,55,308,[0, 15],[98, 16]
219.0,1,42,298,[12, 24],null
219.0,2,55,308,[0, 15],[98, 16]
220.0,1,42,297,[11, 24],[8, 23]
220.0,2,55,307,[99, 15],[98, 16]
221.0,1,42,296,[10, 24],[8, 23]
221.0,2,55,306,[98, 16],null
222.0,2,55,305,[99, 16],[2, 13]
222.0,1,42,294,[8, 23],null
223.0,2,55,304,[0, 15],[2, 13]
223.0,1,42,293,[8, 24],[10, 26]
224.0,1,42,292,[9, 25],[10, 26]
224.0,2,55,303,[1, 14],[2, 13]
225.0,1,42,291,[10, 26],null
225.0,2,55,302,[2, 13],null
226.0,2,55,302,[2, 13],null
226.0,1,42,291,[10, 26],null
227.0,2,64,301,[3, 14],null
227.0,1,42,289,[10, 27],[12, 29]
228.0,1,42,289,[10, 27],[12, 29]
228.0,2,64,301,[3, 14],null
229.0,1,42,288,[11, 28],[12, 29]
229.0,2,64,300,[4, 15],null
230.0,2,64,298,[5, 13],[7, 11]
230.0,1,42,286,[12, 30],[13, 31]
231.0,1,42,286,[12, 30],[13, 31]
231.0,2,64,298,[5, 13],[7, 11]
232.0,2,64,296,[7, 11],null
232.0,1,42,284,[14, 31],[17, 31]
233.0,1,42,284,[14, 31],[17, 31]
233.0,2,64,296,[7, 11],null
234.0,1,42,283,[15, 31],[17, 31]
234.0,2,64,295,[7, 10],[8, 8]
235.0,2,64,293,[8, 8],null
235.0,1,42,281,[17, 31],null
236.0,2,64,293,[8, 8],null
236.0,1,42,281,[17, 31],null
237.0,1,42,280,[16, 32],[14, 34]
237.0,2,64,292,[7, 7],[99, 5]
238.0,1,42,280,[16, 32],[14, 34]
238.0,2,64,292,[7, 7],[99, 5]
239.0,1,42,279,[15, 33],[14, 34]
239.0,2,64,291,[6, 6],[99, 5]
240.0,1,42,278,[14, 34],null
240.0,2,64,290,[5, 5],[99, 5]
241.0,2,64,288,[3, 3],[99, 5]
241.0,1,42,276,[14, 32],[12, 30]
242.0,2,64,288,[3, 3],[99, 5]
242.0,1,42,276,[14, 32],[12, 30]
243.0,1,42,274,[12, 30],null
243.0,2,64,286,[1, 3],[99, 5]
244.0,2,64,285,[0, 4],[99, 5]
244.0,1,42,273,[13, 30],[16, 28]
245.0,2,64,284,[99, 5],null
245.0,1,42,272,[14, 30],[16, 28]
246.0,1,42,272,[14, 30],[16, 28]
246.0,2,64,284,[99, 5],null
247.0,2,65,283,[0, 5],[3, 6]
247.0,1,42,270,[16, 28],null
248.0,1,42,270,[16, 28],null
248.0,2,65,283,[0, 5],[3, 6]
249.0,2,65,281,[2, 5],[3, 6]
249.0,1,42,268,[17, 30],null
250.0,2,65,280,[3, 6],null
250.0,1,42,267,[17, 31],[17, 33]
251.0,1,42,266,[17, 32],[17, 33]
251.0,2,65,280,[3, 6],null
252.0,2,65,279,[2, 6],[96, 2]
252.0,1,42,265,[17, 33],null
253.0,2,65,278,[1, 5],[96, 2]
253.0,1,42,264,[17, 34],[16, 36]
254.0,1,42,264,[17, 34],[16, 36]
254.0,2,65,278,[1, 5],[96, 2]
255.0,1,42,262,[16, 36],null
255.0,2,65,276,[99, 4],[96, 2]
256.0,1,42,262,[16, 36],null
256.0,2,65,276,[99, 4],[96, 2]
257.0,2,65,274,[97, 3],[96, 2]
257.0,1,42,260,[18, 36],[20, 34]
258.0,2,65,274,[97, 3],[96, 2]
258.0,1,42,260,[18, 36],[20, 34]
259.0,1,42,258,[20, 34],null
259.0,2,68,273,[96, 2],null
260.0,2,68,272,[96, 1],[94, 48]
260.0,1,42,257,[20, 35],[23, 38]
261.0,2,68,271,[96, 0],[94, 48]
261.0,1,42,256,[21, 36],[23, 38]
262.0,1,42,255,[22, 37],[23, 38]
262.0,2,68,270,[95, 49],[94, 48]
263.0,2,68,270,[95, 49],[94, 48]
263.0,1,42,255,[22, 37],[23, 38]
264.0,2,68,269,[94, 48],null
264.0,1,42,253,[24, 38],[25, 37]
265.0,2,68,268,[93, 49],[95, 6]
265.0,1,42,252,[25, 37],null
266.0,1,42,251,[26, 36],[28, 34]
266.0,2,68,267,[92, 0],[95, 6]
267.0,2,68,266,[93, 1],[95, 6]
267.0,1,42,250,[27, 35],[28, 34]
268.0,2,68,265,[93, 2],[95, 6]
268.0,1,42,249,[28, 34],null
269.0,1,42,249,[28, 34],null
269.0,2,68,264,[93, 3],[95, 6]
270.0,1,42,248,[29, 33],null
270.0,2,68,263,[93, 4],[95, 6]
271.0,1,42,247,[28, 32],null
271.0,2,68,262,[94, 5],[95, 6]
272.0,2,68,262,[94, 5],[95, 6]
