simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval
TileWorld_1,50,100,2,30,30,2,20,500,100

tick,agent,score,energy,location,target
139.0,2,8,367,[22, 6],null
140.0,2,8,365,[23, 8],[24, 9]
140.0,1,16,364,[67, 12],null
141.0,1,16,364,[67, 12],null
141.0,2,8,365,[23, 8],[24, 9]
142.0,2,8,364,[24, 9],null
142.0,1,16,363,[67, 13],[68, 16]
143.0,1,16,362,[67, 14],[68, 16]
143.0,2,8,363,[23, 9],[20, 8]
144.0,1,16,361,[67, 15],[68, 16]
144.0,2,8,363,[23, 9],[20, 8]
145.0,1,16,360,[68, 16],null
145.0,2,8,362,[22, 9],[20, 8]
146.0,2,8,360,[20, 8],null
146.0,1,16,358,[66, 17],[64, 15]
147.0,2,8,360,[20, 8],null
147.0,1,16,358,[66, 17],[64, 15]
148.0,2,8,358,[20, 6],[22, 4]
148.0,1,16,356,[64, 15],null
149.0,1,16,356,[64, 15],null
149.0,2,8,358,[20, 6],[22, 4]
150.0,1,16,354,[65, 17],[66, 18]
150.0,2,8,356,[22, 4],null
151.0,1,16,354,[65, 17],[66, 18]
151.0,2,8,356,[22, 4],null
152.0,1,16,353,[66, 18],null
152.0,2,8,355,[22, 3],[24, 1]
153.0,1,16,352,[67, 19],null
153.0,2,8,354,[23, 2],[24, 1]
154.0,2,8,352,[24, 0],[22, 48]
154.0,1,16,350,[65, 20],[64, 21]
155.0,2,8,352,[24, 0],[22, 48]
155.0,1,16,350,[65, 20],[64, 21]
156.0,1,16,348,[63, 21],[61, 23]
156.0,2,8,350,[22, 48],null
157.0,1,16,347,[62, 22],[61, 23]
157.0,2,11,350,[22, 48],null
158.0,1,16,346,[61, 23],null
158.0,2,11,349,[22, 47],[19, 44]
159.0,2,11,349,[22, 47],[19, 44]
159.0,1,16,346,[61, 23],null
160.0,2,11,347,[20, 45],[19, 44]
160.0,1,16,344,[59, 23],[57, 25]
161.0,1,16,343,[58, 24],[57, 25]
161.0,2,11,346,[19, 44],null
162.0,2,11,346,[19, 44],null
162.0,1,16,343,[58, 24],[57, 25]
163.0,2,11,345,[18, 43],[17, 42]
163.0,1,16,342,[57, 25],null
164.0,2,11,343,[16, 42],[13, 44]
164.0,1,16,340,[58, 27],[60, 29]
165.0,2,11,342,[15, 42],[13, 44]
165.0,1,16,339,[59, 28],[60, 29]
166.0,2,11,341,[14, 43],[13, 44]
166.0,1,16,338,[60, 29],null
167.0,2,11,340,[13, 44],null
167.0,1,16,338,[60, 29],null
168.0,2,11,340,[13, 44],null
168.0,1,16,338,[60, 29],null
169.0,1,16,337,[61, 30],[62, 31]
169.0,2,11,339,[14, 43],[17, 40]
170.0,1,16,336,[62, 31],null
170.0,2,11,338,[15, 42],[17, 40]
171.0,1,16,336,[62, 31],null
171.0,2,11,337,[16, 41],[17, 40]
172.0,1,16,335,[62, 32],[63, 33]
172.0,2,11,336,[17, 40],null
173.0,1,16,333,[63, 34],[64, 35]
173.0,2,11,334,[15, 40],[13, 41]
174.0,2,11,334,[15, 40],[13, 41]
174.0,1,16,333,[63, 34],[64, 35]
175.0,2,11,332,[13, 41],null
175.0,1,16,331,[65, 35],[66, 34]
176.0,2,11,331,[12, 41],[10, 40]
176.0,1,16,330,[66, 34],null
177.0,1,16,330,[66, 34],null
177.0,2,11,331,[12, 41],[10, 40]
178.0,2,11,329,[10, 40],null
178.0,1,16,328,[64, 33],[62, 31]
179.0,2,11,329,[10, 40],null
179.0,1,16,328,[64, 33],[62, 31]
180.0,2,11,327,[11, 42],[13, 44]
180.0,1,16,326,[62, 31],null
181.0,2,11,327,[11, 42],[13, 44]
181.0,1,16,326,[62, 31],null
182.0,2,11,325,[13, 44],null
182.0,1,16,324,[64, 30],null
183.0,1,16,324,[64, 30],null
183.0,2,11,325,[13, 44],null
184.0,2,11,324,[12, 44],[11, 43]
184.0,1,16,323,[65, 31],[67, 33]
185.0,2,11,323,[11, 43],null
185.0,1,16,322,[66, 32],[67, 33]
186.0,1,16,321,[67, 33],null
186.0,2,11,322,[11, 42],[9, 39]
187.0,2,11,321,[11, 41],[9, 39]
187.0,1,16,320,[67, 34],[68, 37]
188.0,2,11,319,[9, 39],null
188.0,1,16,318,[67, 36],[68, 37]
189.0,1,16,318,[67, 36],[68, 37]
189.0,2,11,319,[9, 39],null
190.0,2,11,318,[10, 39],[12, 38]
