simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval,simName,height,width,agentCount,holeCount,tileCount,homeCount,obstacleCount,energy,changeInterval
TileWorld_1,50,100,2,30,30,2,20,500,100,TileWorld_2,50,100,2,60,60,2,40,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100,TileWorld_3,50,100,1,20,20,2,10,500,100

tick,agent,score,energy,location,target
242.0,1,25,268,[16, 26],null
243.0,1,25,266,[17, 24],[18, 23]
244.0,1,25,265,[18, 23],null
245.0,1,25,265,[18, 23],null
246.0,1,25,263,[20, 22],[21, 21]
247.0,1,25,262,[21, 21],null
248.0,1,25,262,[21, 21],null
249.0,1,25,260,[22, 20],[25, 23]
250.0,1,25,260,[22, 20],[25, 23]
251.0,1,25,258,[24, 22],[25, 23]
252.0,1,25,258,[24, 22],[25, 23]
253.0,1,25,257,[25, 23],null
254.0,1,25,256,[25, 24],[23, 27]
255.0,1,25,254,[24, 26],[23, 27]
256.0,1,25,254,[24, 26],[23, 27]
257.0,1,25,253,[23, 27],null
258.0,1,25,251,[25, 25],[26, 24]
259.0,1,25,251,[25, 25],[26, 24]
260.0,1,25,249,[26, 25],[29, 28]
261.0,1,25,249,[26, 25],[29, 28]
262.0,1,25,247,[28, 27],[29, 28]
263.0,1,25,246,[29, 28],null
264.0,1,31,246,[29, 28],null
265.0,1,31,246,[29, 28],null
266.0,1,31,245,[29, 27],[30, 25]
267.0,1,31,243,[30, 25],null
268.0,1,31,242,[31, 25],[32, 24]
269.0,1,31,242,[31, 25],[32, 24]
270.0,1,31,241,[32, 24],null
271.0,1,31,239,[30, 24],[28, 26]
272.0,1,31,239,[30, 24],[28, 26]
273.0,1,31,238,[29, 25],[28, 26]
274.0,1,31,236,[28, 25],[31, 22]
275.0,1,31,235,[29, 24],[31, 22]
276.0,1,31,234,[30, 23],[31, 22]
277.0,1,31,234,[30, 23],[31, 22]
278.0,1,31,232,[31, 23],[33, 25]
279.0,1,31,231,[32, 24],[33, 25]
280.0,1,31,231,[32, 24],[33, 25]
281.0,1,31,229,[33, 24],[34, 23]
282.0,1,31,228,[34, 23],null
283.0,1,31,228,[34, 23],null
284.0,1,31,226,[32, 23],null
285.0,1,31,226,[32, 23],null
286.0,1,31,224,[32, 21],[33, 20]
287.0,1,31,224,[32, 21],[33, 20]
288.0,1,31,223,[33, 20],null
289.0,1,31,221,[33, 18],[32, 17]
290.0,1,31,220,[32, 17],null
291.0,1,31,219,[33, 16],[34, 15]
292.0,1,31,218,[34, 15],null
293.0,1,31,217,[33, 15],[30, 13]
294.0,1,31,216,[32, 15],[30, 13]
295.0,1,31,216,[32, 15],[30, 13]
296.0,1,31,215,[31, 14],[30, 13]
297.0,1,31,213,[29, 13],[28, 12]
298.0,1,31,212,[28, 12],null
299.0,1,31,212,[28, 12],null
300.0,1,31,210,[29, 10],[30, 9]
301.0,1,31,210,[29, 10],[30, 9]
302.0,1,31,208,[31, 9],[32, 9]
303.0,1,31,208,[31, 9],[32, 9]
304.0,1,31,207,[32, 9],null
305.0,1,31,205,[30, 10],[27, 7]
306.0,1,31,204,[29, 9],[27, 7]
307.0,1,31,204,[29, 9],[27, 7]
308.0,1,31,202,[27, 7],null
309.0,1,31,201,[26, 6],[24, 4]
310.0,1,31,200,[25, 5],[24, 4]
311.0,1,31,200,[25, 5],[24, 4]
312.0,1,31,198,[24, 3],[23, 2]
313.0,1,31,197,[23, 2],null
314.0,1,31,197,[23, 2],null
315.0,1,31,195,[21, 3],[19, 5]
316.0,1,31,195,[21, 3],[19, 5]
317.0,1,31,193,[19, 5],null
318.0,1,31,192,[18, 6],[17, 7]
319.0,1,31,191,[17, 7],null
320.0,1,31,191,[17, 7],null
321.0,1,31,189,[19, 7],[20, 7]
322.0,1,31,188,[20, 7],null
323.0,1,31,187,[19, 6],[18, 5]
324.0,1,31,187,[19, 6],[18, 5]
325.0,1,31,185,[19, 5],[20, 5]
326.0,1,31,184,[20, 5],null
327.0,1,31,184,[20, 5],null
328.0,1,31,183,[21, 5],[24, 4]
329.0,1,31,182,[22, 5],[24, 4]
330.0,1,31,181,[23, 5],[24, 4]
331.0,1,31,180,[24, 4],null
332.0,1,31,178,[26, 4],[27, 4]
333.0,1,31,178,[26, 4],[27, 4]
334.0,1,31,177,[27, 4],null
